stack_id,primary_role,stack_name,required_skills,preferred_skills,stack_popularity_score,stack_level,typical_experience_years,industry_sector
21,Python Developer,Cybersecurity Stack,Nmap|Python,Splunk|Kali Linux,0.87,Beginner,12,EdTech
22,Release Engineer,Frontend React Modern,TypeScript|Vite|React,Vitest|Storybook|React Query,0.84,Advanced,11,Fintech
23,Java Developer,Unreal Engine Stack,Blueprints|Unreal Engine,Houdini,0.7,Beginner,4,Automotive
24,Salesforce Developer,Cybersecurity Stack,Nmap|Python|Metasploit,Burp Suite|OWASP ZAP,0.76,Intermediate,1,Logistics
25,Automation Engineer,Django Full Stack,HTML/CSS|Python|Django,Docker|Redis|Django REST Framework,0.97,Advanced,4,IT
26,Analytics Engineer,Computer Vision Stack,TensorFlow|Python|OpenCV|YOLO,PyTorch|ONNX,0.37,Beginner,8,Logistics
27,Shopify Developer,NLP Pipeline,spaCy|Python|Hugging Face Transformers|NLTK,Pandas,0.77,Intermediate,7,Cybersecurity
28,API Developer,Salesforce Platform,SOQL|Lightning Web Components,Heroku,0.64,Beginner,10,Biotech
29,Rust Developer,WordPress CMS Stack,PHP|MySQL,WooCommerce,0.13,Intermediate,3,E-commerce
30,SRE Engineer,IoT Platform,MQTT|Python|Raspberry Pi,InfluxDB|Node-RED|Grafana,0.24,Beginner,3,Consulting
31,Cloud Architect,Rust Systems,Tokio|Actix-web|Rust|PostgreSQL,Serde,0.25,Beginner,2,Consulting
32,SAP Consultant,React Native Mobile,Expo|JavaScript|React Native|Redux,Firebase,0.41,Beginner,3,E-commerce
33,React Developer,Game Development Unity,Visual Studio|Unity|C#,Photon,0.19,Advanced,10,Healthcare
34,Principal Engineer,Game Development Unity,Visual Studio|C#|Blender,Addressables|Plastic SCM,0.33,Beginner,12,Retail
35,API Developer,Unreal Engine Stack,Blueprints|C++,Substance Painter|FMOD,0.37,Advanced,1,E-commerce
36,AI Engineer,Game Development Unity,C#|Visual Studio|Unity|Blender,Plastic SCM,0.58,Beginner,0,Automotive
37,Security Engineer,Django Full Stack,Django|PostgreSQL,Django REST Framework|Redis|Docker,0.66,Advanced,10,E-commerce
38,SRE Engineer,Data Engineering Pipeline,Apache Spark|Python,Kafka|Snowflake,0.88,Advanced,3,Fintech
39,Platform Engineer,DevOps Automation,Docker|Terraform|Jenkins|Kubernetes,Grafana|Ansible|Prometheus,0.24,Beginner,10,Finance
40,CTO,Android Native,Jetpack Compose|Kotlin,Espresso,0.61,Advanced,4,Fintech
41,Database Administrator,ETL Data Pipeline,Apache Kafka|Python|Airflow|PostgreSQL,dbt|AWS Redshift|Docker,0.5,Beginner,1,Cybersecurity
42,Data Engineer,Game Development Unity,Blender|Visual Studio|C#|Unity,Addressables,0.4,Advanced,6,Automotive
43,Full Stack Developer,Android Native,Android Studio|Kotlin|Room,Dagger/Hilt,0.65,Intermediate,1,Manufacturing
44,DevOps Engineer,Vue.js Ecosystem,Vue 3|TypeScript,Nuxt.js|Vuetify|Cypress,0.65,Intermediate,12,Healthcare
45,QA Engineer,Django Full Stack,PostgreSQL|Python|Django|HTML/CSS,Django REST Framework|Redis,0.55,Beginner,8,Aerospace
46,Engineering Manager,Go Microservices,Docker|Go|PostgreSQL,Redis|Prometheus,0.65,Beginner,11,IT
47,Embedded Systems Engineer,WordPress CMS Stack,WordPress|PHP|HTML/CSS|MySQL,Elementor|JavaScript,0.94,Beginner,5,Telecom
48,Data Analyst,MERN Stack,Node.js|MongoDB,TypeScript|Jest,0.64,Intermediate,3,EdTech
49,SRE Engineer,WordPress CMS Stack,PHP|HTML/CSS,WooCommerce|JavaScript|Elementor,0.2,Beginner,1,SaaS
50,SAP Consultant,DevOps Automation,Jenkins|Docker,Ansible|ArgoCD,0.64,Intermediate,0,Fintech
51,ETL Developer,GCP Data Platform,GCS|Cloud Functions,Dataflow,0.52,Advanced,4,Manufacturing
52,WordPress Developer,Flask Microservices,Python|Flask|Redis|SQLAlchemy,RabbitMQ|Kubernetes,0.49,Advanced,8,Gaming
53,BI Analyst,ML Engineering Stack,Python|Scikit-learn|TensorFlow|Pandas,MLflow|Docker,0.37,Advanced,1,Consulting
54,Embedded Systems Engineer,Business Intelligence,SQL|Python|Excel|Power BI,Looker,0.73,Intermediate,12,Gaming
55,WordPress Developer,Game Development Unity,Blender|C#|Unity,Addressables,0.46,Beginner,1,Manufacturing
56,Product Engineer,LAMP Stack,Apache|Linux|PHP|MySQL,Composer|Laravel,0.88,Intermediate,12,Finance
57,Angular Developer,Flutter Cross-Platform,Dart|Firebase,Hive,0.99,Beginner,4,Government
58,Vue.js Developer,IoT Platform,AWS IoT|MQTT,InfluxDB|Docker|Node-RED,0.23,Advanced,5,Energy
59,CTO,Data Engineering Pipeline,Airflow|AWS S3|Apache Spark|Python,Snowflake|Kafka,0.96,Advanced,9,SaaS
60,Backend Developer,PyTorch Deep Learning,CUDA|NumPy|PyTorch|Python,ONNX,0.9,Advanced,3,Energy
61,Security Engineer,IoT Platform,AWS IoT|Python|MQTT,Grafana|Docker,0.34,Advanced,7,Consulting
62,Salesforce Developer,Salesforce Platform,SOQL|Salesforce CLI|Lightning Web Components|Apex,Visualforce,0.17,Advanced,8,Cybersecurity
63,Staff Engineer,Game Development Unity,Unity|C#|Blender,Addressables,0.85,Intermediate,0,Gaming
64,Automation Engineer,Android Native,Kotlin|Jetpack Compose,Dagger/Hilt|Coroutines,0.8,Beginner,4,EdTech
65,Solutions Architect,Spring Boot Enterprise,Maven|PostgreSQL|Java,Docker|Hibernate,0.29,Beginner,12,Retail
66,Security Engineer,WordPress CMS Stack,WordPress|PHP|MySQL,ACF|JavaScript,0.35,Intermediate,5,E-commerce
67,DevOps Engineer,GCP Data Platform,Pub/Sub|Cloud Functions,Dataflow,0.19,Intermediate,4,Energy
68,BI Analyst,DevOps Automation,Terraform|Kubernetes|Jenkins,Ansible,0.6,Advanced,4,Fintech
69,SAP Consultant,GCP Data Platform,Cloud Functions|Pub/Sub|BigQuery,Dataflow|Cloud Run,0.2,Intermediate,4,Manufacturing
70,Shopify Developer,QA Automation,Jenkins|TestNG,Allure|Cypress,0.64,Advanced,7,Fintech
71,SRE Engineer,DevOps Automation,Kubernetes|Jenkins|Docker,ArgoCD|Prometheus|Ansible,0.32,Beginner,0,Government
72,Automation Engineer,Frontend React Modern,Tailwind CSS|TypeScript,Zustand|Vitest|Storybook,0.53,Advanced,2,Consulting
73,Software Engineer,Django Full Stack,HTML/CSS|PostgreSQL|Python,Redis|Docker,1.0,Beginner,11,Retail
74,Product Engineer,Spring Boot Enterprise,PostgreSQL|Spring Boot,Kafka|Docker,0.58,Advanced,6,Fintech
75,BI Analyst,GCP Data Platform,BigQuery|Pub/Sub,Vertex AI,0.47,Intermediate,6,Energy
76,Blockchain Developer,GraphQL API,GraphQL|Node.js,Jest|Prisma|TypeScript,0.65,Beginner,12,Healthcare
77,DevOps Engineer,ETL Data Pipeline,Python|Apache Kafka|PostgreSQL,AWS Redshift,0.86,Intermediate,7,Healthcare
78,Vue.js Developer,Next.js Full Stack,Next.js|Prisma|TypeScript|React,Tailwind CSS|Vercel,0.99,Beginner,6,Finance
79,Go Developer,MERN Stack,MongoDB|Node.js|Express.js,Jest,1.0,Advanced,3,EdTech
80,Node.js Developer,React Native Mobile,React Native|Redux,TypeScript|Firebase,0.73,Advanced,4,EdTech
81,Salesforce Developer,Svelte Modern,Tailwind CSS|TypeScript,Supabase|Playwright,0.83,Intermediate,8,Automotive
82,Cloud Architect,Android Native,Kotlin|Room,Retrofit,0.35,Intermediate,2,Automotive
83,Angular Developer,Rust Systems,PostgreSQL|Rust,Serde|SQLx,0.86,Intermediate,1,Media
84,Analytics Engineer,Salesforce Platform,SOQL|Lightning Web Components|Salesforce CLI,MuleSoft|Visualforce|Heroku,0.52,Intermediate,3,Manufacturing
85,Product Engineer,SAP Enterprise,SAP HANA|Fiori|ABAP|SAP S/4HANA,RAP|CDS Views,0.62,Advanced,9,Logistics
86,BI Analyst,PyTorch Deep Learning,NumPy|PyTorch|Python,ONNX|TensorBoard,0.19,Intermediate,9,SaaS
87,Mobile Developer,SAP Enterprise,ABAP|SAP HANA|SAP S/4HANA,CDS Views|RAP,0.98,Intermediate,12,Cybersecurity
88,Technical Lead,MEAN Stack,Angular|Node.js,Jasmine|NgRx|TypeScript,0.75,Advanced,6,SaaS
89,Rust Developer,Next.js Full Stack,Prisma|React|Next.js,NextAuth|Tailwind CSS,0.25,Beginner,1,Retail
90,Data Analyst,Azure Enterprise,AKS|Azure Functions,Service Bus|Application Insights|Logic Apps,0.36,Beginner,8,IT
91,Go Developer,Flutter Cross-Platform,Firebase|REST APIs|Dart,Hive,0.65,Beginner,5,Gaming
92,Java Developer,Svelte Modern,TypeScript|Svelte,Vitest|Supabase,0.51,Advanced,9,Telecom
93,API Developer,LAMP Stack,PHP|MySQL|Apache,PHPUnit|Laravel,0.89,Intermediate,8,Media
94,CTO,iOS Native,Swift|Xcode|Core Data,ARKit|Combine,0.81,Advanced,0,Healthcare
95,WordPress Developer,Embedded Systems,C++|C|ARM,MQTT|GPIO|JTAG,0.72,Intermediate,5,Fintech
96,Staff Engineer,PyTorch Deep Learning,NumPy|PyTorch|CUDA|Python,Weights & Biases,0.7,Intermediate,4,Finance
97,WordPress Developer,Blockchain Development,Solidity|Web3.js,IPFS|OpenZeppelin,0.74,Beginner,4,EdTech
98,ETL Developer,Go Microservices,PostgreSQL|gRPC|Docker|Go,Redis|Kubernetes|Testify,0.95,Intermediate,6,Consulting
99,ML Engineer,Vue.js Ecosystem,Pinia|TypeScript,Vitest,0.75,Advanced,2,IT
100,Go Developer,AWS Cloud Native,API Gateway|AWS Lambda,CloudWatch,0.32,Intermediate,6,Healthcare
101,Computer Vision Engineer,Flask Microservices,Redis|SQLAlchemy|Flask|Python,Kubernetes|RabbitMQ,0.69,Intermediate,9,SaaS
102,Mobile Developer,PyTorch Deep Learning,Python|PyTorch|NumPy|CUDA,Weights & Biases|Hugging Face,0.99,Beginner,11,Consulting
103,Data Analyst,Django Full Stack,PostgreSQL|Django|HTML/CSS|Python,Redis|Django REST Framework|Celery,0.82,Intermediate,0,Fintech
104,ETL Developer,MEAN Stack,Express.js|MongoDB|Angular|Node.js,RxJS|NgRx|Jasmine,0.92,Beginner,9,Consulting
105,Solutions Architect,Go Microservices,Docker|gRPC|PostgreSQL,Testify|Kubernetes,0.41,Intermediate,6,Aerospace
106,Systems Programmer,Next.js Full Stack,TypeScript|React|Next.js,NextAuth,0.2,Intermediate,12,Automotive
107,SAP Consultant,ML Engineering Stack,Python|Scikit-learn|Pandas,NumPy,0.28,Intermediate,5,SaaS
108,Senior Software Engineer,Computer Vision Stack,OpenCV|Python,MediaPipe|PyTorch|Albumentations,0.43,Advanced,1,Aerospace
109,Platform Engineer,ETL Data Pipeline,PostgreSQL|Airflow|Python,dbt|AWS Redshift,0.33,Intermediate,2,Cybersecurity
110,Blockchain Developer,MERN Stack,Node.js|Express.js|MongoDB,Redux|Mongoose,0.38,Advanced,7,Cybersecurity
111,Analytics Engineer,Android Native,Android Studio|Jetpack Compose,Dagger/Hilt|Retrofit|Espresso,0.22,Advanced,9,Government
112,WordPress Developer,Computer Vision Stack,OpenCV|TensorFlow,PyTorch|MediaPipe,0.39,Intermediate,2,Media
113,Java Developer,Android Native,Kotlin|Android Studio|Room|Jetpack Compose,Dagger/Hilt|Espresso|Retrofit,0.2,Intermediate,8,Fintech
114,ETL Developer,Business Intelligence,SQL|Python|Power BI,Looker|DAX|Tableau,0.75,Advanced,9,Healthcare
115,Java Developer,Salesforce Platform,Lightning Web Components|SOQL|Salesforce CLI,Heroku|Visualforce,0.39,Beginner,9,IT
116,Performance Engineer,MEAN Stack,MongoDB|Express.js|Node.js,TypeScript|NgRx,0.44,Advanced,5,Telecom
117,Data Scientist,DevOps Automation,Docker|Jenkins|Kubernetes,Grafana|Ansible,0.9,Intermediate,6,Government
118,Systems Programmer,LAMP Stack,Apache|PHP|MySQL|Linux,Composer|Laravel|PHPUnit,0.73,Beginner,12,Aerospace
119,React Developer,Flask Microservices,Redis|SQLAlchemy|Python,Pytest|Docker|Kubernetes,0.87,Beginner,10,Consulting
120,Shopify Developer,ASP.NET Core Stack,C#|Entity Framework|.NET Core,xUnit,0.66,Advanced,11,Healthcare
121,IoT Developer,GraphQL API,Apollo Server|Node.js|PostgreSQL,Jest,0.36,Beginner,11,Retail
122,ETL Developer,ML Engineering Stack,Scikit-learn|TensorFlow,FastAPI|MLflow|Docker,0.15,Intermediate,8,Retail
123,SRE Engineer,Flask Microservices,SQLAlchemy|Redis|Flask,RabbitMQ,0.85,Advanced,6,Healthcare
124,QA Engineer,Go Microservices,PostgreSQL|Go|Docker,Prometheus|Testify,0.47,Beginner,5,Energy
125,Staff Engineer,Svelte Modern,Svelte|TypeScript|SvelteKit,Prisma,0.29,Intermediate,6,SaaS
126,SRE Engineer,Data Engineering Pipeline,Airflow|Apache Spark,Delta Lake,0.46,Intermediate,1,Energy
127,Node.js Developer,Flutter Cross-Platform,Dart|Firebase,Integration Tests|Hive|Provider,0.9,Advanced,12,Gaming
128,Cloud Architect,Salesforce Platform,Lightning Web Components|Salesforce CLI|SOQL,Heroku|MuleSoft|Flow Builder,0.61,Beginner,0,Media
129,Python Developer,Android Native,Kotlin|Jetpack Compose|Android Studio,Dagger/Hilt|Coroutines,0.41,Advanced,11,Healthcare
130,Product Engineer,Cybersecurity Stack,Wireshark|Python|Metasploit,OWASP ZAP,0.35,Advanced,11,IT
131,Principal Engineer,React Native Mobile,Expo|React Native|Redux,TypeScript|Jest|Firebase,0.52,Advanced,10,IT
132,Go Developer,ETL Data Pipeline,PostgreSQL|Python|Apache Kafka,AWS Redshift,0.23,Beginner,0,Cybersecurity
133,SRE Engineer,ML Engineering Stack,Scikit-learn|TensorFlow|Python,FastAPI|Docker|NumPy,0.45,Advanced,4,Fintech
134,Senior Software Engineer,SAP Enterprise,Fiori|ABAP|SAP S/4HANA|SAP HANA,OData,0.87,Beginner,7,SaaS
135,Blockchain Developer,MEAN Stack,Express.js|Node.js,TypeScript|NgRx|Jasmine,0.88,Intermediate,3,Telecom
136,Frontend Developer,Flutter Cross-Platform,Dart|REST APIs|Firebase|Flutter,Provider,0.97,Advanced,0,Cybersecurity
137,Angular Developer,Salesforce Platform,Salesforce CLI|Apex|Lightning Web Components,MuleSoft|Flow Builder|Heroku,0.19,Advanced,2,Retail
138,Technical Lead,Spring Boot Enterprise,Maven|PostgreSQL|Java,JUnit,0.45,Beginner,6,Biotech
139,Game Developer,GCP Data Platform,Cloud Functions|Pub/Sub|BigQuery,Composer|Dataflow|Cloud Run,0.62,Intermediate,5,IT
140,Analytics Engineer,ML Engineering Stack,Scikit-learn|Pandas,Docker,0.7,Intermediate,0,Consulting
141,AI Engineer,Embedded Systems,C++|ARM|C,FreeRTOS|GPIO|JTAG,0.74,Advanced,5,EdTech
142,Mobile Developer,Blockchain Development,Web3.js|Ethereum|Hardhat|Solidity,Chai|IPFS|Ganache,0.43,Advanced,7,Logistics
143,SAP Consultant,Django Full Stack,Python|HTML/CSS|Django,Celery|Docker,0.36,Advanced,9,Healthcare
144,Game Developer,IoT Platform,MQTT|Raspberry Pi|Python,InfluxDB|Node-RED|Grafana,0.21,Advanced,7,Government
145,Vue.js Developer,Embedded Systems,RTOS|ARM|C,JTAG,0.18,Intermediate,7,Cybersecurity
146,Analytics Engineer,Next.js Full Stack,React|Next.js,Vercel|Tailwind CSS|tRPC,0.34,Advanced,10,IT
147,Node.js Developer,Flutter Cross-Platform,Firebase|REST APIs|Dart|Flutter,Hive,0.87,Intermediate,7,Cybersecurity
148,Backend Developer,Rust Systems,Tokio|Actix-web,Cargo|Serde|Docker,0.8,Beginner,11,Energy
149,AI Engineer,Spring Boot Enterprise,PostgreSQL|Maven|Spring Boot|Java,JUnit|Docker|Hibernate,0.95,Advanced,11,Media
150,Cloud Architect,Salesforce Platform,Salesforce CLI|Apex,MuleSoft,0.24,Intermediate,0,Cybersecurity
151,Full Stack Developer,GraphQL API,Apollo Server|PostgreSQL,Jest,0.73,Intermediate,8,Finance
152,Staff Engineer,Blockchain Development,Solidity|Web3.js,IPFS,0.93,Advanced,3,Logistics
153,Database Administrator,WordPress CMS Stack,PHP|HTML/CSS,ACF,0.87,Intermediate,3,Government
154,Java Developer,Android Native,Jetpack Compose|Room,Dagger/Hilt|Espresso,0.33,Beginner,6,Media
155,Analytics Engineer,Go Microservices,Go|gRPC|Docker,Kubernetes|Prometheus|Redis,0.87,Intermediate,12,Aerospace
156,Engineering Manager,ML Engineering Stack,Scikit-learn|TensorFlow|Pandas|Python,FastAPI|Docker,0.28,Beginner,1,Gaming
157,Principal Engineer,DevOps Automation,Docker|Terraform|Kubernetes|Jenkins,ArgoCD|Grafana,0.75,Beginner,12,Media
158,Senior Software Engineer,ETL Data Pipeline,Airflow|PostgreSQL|Python|Apache Kafka,Docker,0.98,Beginner,9,Fintech
159,Full Stack Developer,Cybersecurity Stack,Wireshark|Nmap|Metasploit,Burp Suite|Kali Linux,0.61,Advanced,0,Aerospace
160,Salesforce Developer,MERN Stack,React|Express.js,Mongoose,0.81,Advanced,0,Finance
161,Systems Programmer,MEAN Stack,MongoDB|Node.js,TypeScript|NgRx,0.94,Intermediate,6,Government
162,Python Developer,NLP Pipeline,Hugging Face Transformers|NLTK|spaCy|Python,Pandas,0.62,Advanced,10,Finance
163,API Developer,WordPress CMS Stack,MySQL|PHP|HTML/CSS|WordPress,Elementor|ACF|WooCommerce,0.16,Beginner,2,E-commerce
164,Data Analyst,ML Engineering Stack,Pandas|TensorFlow,FastAPI,0.81,Beginner,5,Healthcare
165,Frontend Developer,ASP.NET Core Stack,C#|Entity Framework,Blazor|xUnit,0.62,Beginner,10,Energy
166,Vue.js Developer,Azure Enterprise,Cosmos DB|AKS,Application Insights|Logic Apps|Azure AD,0.71,Beginner,3,Logistics
167,BI Analyst,Business Intelligence,Excel|Python|Power BI|SQL,Alteryx|DAX,0.45,Beginner,11,Retail
168,WordPress Developer,Shopify E-commerce,Liquid|Shopify CLI|JavaScript,React,0.65,Intermediate,8,SaaS
169,Systems Programmer,Business Intelligence,Python|Power BI|SQL,DAX,0.28,Beginner,2,Energy
170,Systems Programmer,PyTorch Deep Learning,NumPy|CUDA|Python|PyTorch,TensorBoard|Weights & Biases,0.25,Beginner,7,E-commerce
171,Staff Engineer,Next.js Full Stack,Next.js|TypeScript|React,tRPC,0.84,Beginner,1,Manufacturing
172,API Developer,IoT Platform,Python|MQTT|Raspberry Pi,Docker|InfluxDB,0.16,Beginner,11,Logistics
173,Game Developer,WordPress CMS Stack,WordPress|PHP|MySQL|HTML/CSS,ACF,0.82,Intermediate,0,Media
174,Engineering Manager,IoT Platform,MQTT|Python|Raspberry Pi|AWS IoT,Node-RED|InfluxDB,0.54,Intermediate,1,Biotech
175,Python Developer,Android Native,Android Studio|Room|Kotlin,Retrofit|Dagger/Hilt,0.89,Beginner,3,Gaming
176,Game Developer,Azure Enterprise,AKS|Cosmos DB|Azure DevOps|Azure Functions,Logic Apps,0.31,Intermediate,12,Fintech
177,Solutions Architect,Next.js Full Stack,TypeScript|React|Next.js,tRPC|NextAuth,0.69,Advanced,9,Finance
178,Principal Engineer,React Native Mobile,Redux|React Native|Expo|JavaScript,Detox|Firebase,0.81,Advanced,5,Healthcare
179,SRE Engineer,Frontend React Modern,Vite|TypeScript|Tailwind CSS,Zustand|Vitest,0.15,Intermediate,12,Logistics
180,Game Developer,MERN Stack,Express.js|React|MongoDB|Node.js,TypeScript|Jest|Mongoose,0.73,Beginner,12,Manufacturing
181,React Developer,Frontend React Modern,Vite|React|Tailwind CSS|TypeScript,Vitest|React Query|Zustand,0.32,Beginner,12,Logistics
182,Java Developer,Shopify E-commerce,JavaScript|Shopify CLI,Node.js|GraphQL|React,0.39,Beginner,5,Healthcare
183,Release Engineer,Frontend React Modern,Vite|Tailwind CSS|React,React Query|Vitest,0.11,Advanced,3,Fintech
184,Java Developer,AWS Cloud Native,DynamoDB|S3|AWS Lambda|API Gateway,CloudWatch,0.24,Advanced,8,Gaming
185,Backend Developer,Salesforce Platform,Lightning Web Components|SOQL|Salesforce CLI,Visualforce|Flow Builder|Heroku,0.29,Advanced,5,Automotive
186,Data Scientist,Unreal Engine Stack,Visual Studio|Blueprints|C++|Unreal Engine,Perforce|Substance Painter|FMOD,0.82,Beginner,2,Energy
187,Systems Programmer,AWS Cloud Native,DynamoDB|API Gateway,SQS,0.78,Beginner,12,Gaming
188,Automation Engineer,Data Engineering Pipeline,Apache Spark|Airflow|AWS S3,Kafka|dbt|Delta Lake,0.41,Intermediate,1,Logistics
189,Java Developer,QA Automation,Jenkins|TestNG,Playwright|Cypress|Docker,0.1,Beginner,5,Gaming
190,Software Engineer,NLP Pipeline,spaCy|Python,FAISS|Pandas|FastAPI,0.39,Intermediate,9,IT
191,Go Developer,GCP Data Platform,GCS|Cloud Functions|Pub/Sub,Cloud Run,0.55,Advanced,6,EdTech
192,Solutions Architect,Spring Boot Enterprise,Spring Boot|PostgreSQL,Hibernate|Docker,0.26,Advanced,6,Logistics
193,Mobile Developer,Frontend React Modern,Tailwind CSS|Vite|React,Storybook|React Query,0.72,Advanced,8,Fintech
194,Database Administrator,PyTorch Deep Learning,PyTorch|NumPy,TensorBoard|Weights & Biases|Hugging Face,0.52,Advanced,3,Gaming
195,Build Engineer,PyTorch Deep Learning,NumPy|Python,Weights & Biases,0.36,Beginner,1,Manufacturing
196,Blockchain Developer,Android Native,Android Studio|Kotlin|Room|Jetpack Compose,Espresso,0.65,Advanced,12,Aerospace
197,Data Analyst,Embedded Systems,C|RTOS|ARM,MQTT|JTAG,0.74,Advanced,0,Consulting
198,Technical Lead,ASP.NET Core Stack,C#|.NET Core,SignalR|xUnit,0.26,Beginner,8,Automotive
199,CTO,Svelte Modern,TypeScript|Svelte|SvelteKit,Playwright,0.65,Intermediate,2,Fintech
200,Cloud Architect,Shopify E-commerce,Liquid|Shopify CLI|HTML/CSS,Node.js|Theme Kit|React,0.13,Advanced,12,Cybersecurity
201,Backend Developer,LAMP Stack,Linux|PHP|Apache|MySQL,PHPUnit|Composer,0.67,Intermediate,4,Biotech
202,Automation Engineer,Vue.js Ecosystem,Vue 3|Pinia,Vuetify|Cypress,0.17,Beginner,6,Gaming
203,Technical Lead,Embedded Systems,RTOS|C++|ARM|C,FreeRTOS,0.41,Beginner,10,Automotive
204,CTO,iOS Native,UIKit|Xcode,ARKit|SwiftUI,0.17,Beginner,10,IT
205,Analytics Engineer,Game Development Unity,Visual Studio|C#,DOTween,0.69,Intermediate,10,IT
206,Analytics Engineer,Cybersecurity Stack,Nmap|Python|Wireshark,Kali Linux|Burp Suite|Splunk,0.28,Beginner,7,Healthcare
207,Security Engineer,DevOps Automation,Terraform|Kubernetes|Jenkins,Ansible|ArgoCD|Grafana,0.78,Advanced,2,Fintech
208,ML Engineer,MERN Stack,MongoDB|Express.js,TypeScript|Redux|Jest,0.2,Intermediate,6,Logistics
209,Full Stack Developer,MERN Stack,Express.js|Node.js,Jest|Redux|TypeScript,0.87,Beginner,7,Consulting
210,Principal Engineer,Flutter Cross-Platform,Flutter|REST APIs|Dart,BLoC Pattern,0.84,Advanced,12,Fintech
211,Go Developer,Svelte Modern,SvelteKit|Tailwind CSS,Supabase|Prisma,0.98,Advanced,3,Retail
212,QA Engineer,Azure Enterprise,Azure Functions|Azure DevOps|AKS,Application Insights|Service Bus,0.29,Advanced,9,Automotive
213,Performance Engineer,iOS Native,Core Data|Xcode|Swift|UIKit,SwiftUI,0.47,Intermediate,1,Aerospace
214,Mobile Developer,WordPress CMS Stack,WordPress|PHP|MySQL,Elementor|JavaScript|WooCommerce,0.78,Intermediate,10,Retail
215,Senior Software Engineer,Embedded Systems,C|C++|ARM|RTOS,MQTT,0.52,Beginner,1,Finance
216,WordPress Developer,QA Automation,TestNG|Python,Allure|Playwright,0.72,Advanced,1,Healthcare
217,Angular Developer,Unreal Engine Stack,Visual Studio|Unreal Engine,Perforce|FMOD|Substance Painter,0.33,Intermediate,8,Retail
218,Salesforce Developer,AWS Cloud Native,S3|DynamoDB|API Gateway|AWS Lambda,SNS|SQS,0.44,Intermediate,0,Government
219,QA Engineer,Flutter Cross-Platform,REST APIs|Dart,BLoC Pattern|Provider|Hive,0.19,Beginner,8,E-commerce
220,IoT Developer,Business Intelligence,Power BI|Excel,Tableau|Looker|DAX,0.86,Beginner,12,Logistics
221,Database Administrator,Salesforce Platform,Lightning Web Components|Apex|SOQL|Salesforce CLI,Visualforce|Heroku|Flow Builder,0.12,Intermediate,9,Telecom
222,Mobile Developer,Unreal Engine Stack,Blueprints|C++|Unreal Engine,Substance Painter|FMOD,0.3,Advanced,1,Cybersecurity
223,QA Engineer,ML Engineering Stack,Scikit-learn|Pandas|Python,FastAPI|MLflow,0.85,Advanced,1,Consulting
224,Systems Programmer,Vue.js Ecosystem,Vite|TypeScript,Vuetify|Vitest,0.31,Advanced,3,IT
