phrase_id,weak_phrase,recommended_replacement,severity_score,category
80,Very experienced,10+ years of deep experience in,0.86,quantify
81,Did,Performed,0.43,action_verb
82,Was responsible for managing,Supervised,0.4,passive
83,Dealt with,Navigated,0.62,action_verb
84,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.61,specificity
85,Problem-solving skills,Architected caching solution reducing latency by 70%,0.37,specificity
86,Duties included,Delivered outcomes including,0.89,format
87,Assisted with,Enabled,0.42,action_verb
88,Familiar with,Applied understanding of,0.45,vague
89,Various tasks,Specific deliverables including,0.42,vague
90,Responsible for,Spearheaded,0.49,action_verb
91,Saved money,Delivered $1M in cost savings,0.5,quantify
92,I am,[Omit pronoun],0.76,format
93,Familiar with,Hands-on experience with,0.43,vague
94,Team player,Collaborative leader,0.71,buzzword
95,Was responsible for managing,Managed,0.82,passive
96,Participated in,Led,0.71,action_verb
97,Some experience with,Practical exposure to,0.41,vague
98,Some experience with,Foundational experience in,0.9,vague
99,Was in charge of,Administered,0.35,action_verb
100,Problem-solving skills,Resolved critical data pipeline failure within 2 hours,0.58,specificity
101,Managed multiple projects,Directed 6 simultaneous launches across 2 markets,0.47,quantify
102,Successfully managed,Managed [add metrics],0.73,redundant
103,Many projects,A portfolio of strategic projects,0.7,vague
104,Leverage,Capitalized on,0.44,buzzword
105,My duties were,Achieved,0.47,format
106,Various tasks,Key responsibilities such as,0.77,vague
107,Synergy,Integrated teamwork,0.52,buzzword
108,Increased sales,Increased sales by $500K annually,0.31,quantify
109,Effectively communicated,Articulated [topic] to [audience],1.0,redundant
110,Was in charge of,Administered,0.45,action_verb
111,Self-starter,Autonomous contributor,0.95,buzzword
112,Networking,Built partnerships with 25+ enterprise clients,0.92,specificity
113,References available upon request,[Not needed on resume],0.41,filler
114,Knowledge of programming,Mobile development with Swift and Kotlin,0.79,specificity
115,Effectively communicated,Articulated [topic] to [audience],0.31,redundant
116,Proficient in Microsoft Office,SharePoint administration and workflow design,0.51,specificity
117,Responsibilities included,Achievements included,0.96,format
118,Handled,Oversaw,0.38,action_verb
119,Did,Achieved,0.41,action_verb
120,Think outside the box,Inventive analyst,0.45,buzzword
121,Results-oriented,Achieved quantifiable results,0.78,buzzword
122,Good communication skills,Authored technical documentation for 20+ APIs,0.65,specificity
123,Self-starter,Proactive initiator,0.36,buzzword
124,Etc.,[Name actual examples],0.33,vague
125,Results-oriented,Achieved quantifiable results,0.75,buzzword
126,Self-starter,Autonomous contributor,0.82,buzzword
127,Was tasked with developing,Built,0.69,passive
128,Made,Created,0.96,action_verb
129,I am,[Rewrite in third person implied],0.68,format
130,Knowledge of programming,Backend engineering with Java and Spring Boot,0.71,specificity
131,Involved in,Engaged in,0.39,action_verb
132,Synergy,Strategic partnership,0.93,buzzword
133,Saved money,Saved $200K annually through process optimization,0.93,quantify
134,Team player,Cross-functional contributor,0.77,buzzword
135,Passionate about,Committed to excellence in,0.92,buzzword
136,Many projects,A portfolio of strategic projects,0.82,vague
137,Communicated with stakeholders,Presented roadmap updates to 15+ stakeholders,0.91,specificity
138,Large-scale project,$5M digital transformation initiative,0.92,quantify
139,Helped with,Collaborated on,0.82,action_verb
140,Results-oriented,Drove outcome-focused initiatives,0.86,buzzword
141,Problem-solving skills,Resolved critical data pipeline failure within 2 hours,0.49,specificity
142,Saved money,Saved $200K annually through process optimization,0.57,quantify
143,Worked on,Designed,0.46,action_verb
144,Proficient in Microsoft Office,Document automation with Word templates,0.54,specificity
145,Proficient in Microsoft Office,PowerPoint deck design for C-suite presentations,0.46,specificity
146,Responsibilities included,Impact areas included,0.58,format
147,Go-getter,Ambitious achiever,0.98,buzzword
148,Go-getter,Driven contributor,0.75,buzzword
149,Various tasks,Strategic initiatives such as,0.53,vague
150,Helped with,Contributed to,0.91,action_verb
151,Self-starter,Autonomous contributor,0.71,buzzword
152,Self-starter,Proactive initiator,0.38,buzzword
153,Etc.,[Name actual examples],0.81,vague
154,Leverage,Harnessed,0.72,buzzword
155,Some experience with,Foundational experience in,0.57,vague
156,Was asked to lead,Spearheaded,0.48,passive
157,My duties were,Produced,0.3,format
158,Communicated with stakeholders,Aligned 6 department heads on strategic priorities,0.78,specificity
159,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.55,quantify
160,Was in charge of,Headed,0.74,action_verb
161,Responsibilities included,Achievements included,0.8,format
162,Synergy,Coordinated effort,0.52,buzzword
163,Many projects,Several enterprise-scale programs,0.58,vague
164,Think outside the box,Inventive analyst,0.39,buzzword
165,Many projects,Numerous client-facing engagements,0.77,vague
166,Basic understanding of,Introductory experience with,0.73,vague
167,Synergy,Integrated teamwork,0.68,buzzword
168,Responsible for,Oversaw,0.5,action_verb
169,Etc.,[Provide concrete instances],0.72,vague
170,Leverage,Harnessed,0.61,buzzword
171,Job description,Impact statement,0.66,format
172,Saved money,Reduced costs by 30% via automation,0.76,quantify
173,Think outside the box,Inventive analyst,0.76,buzzword
174,Effectively communicated,Briefed [stakeholders],0.37,redundant
175,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.77,quantify
176,Hard worker,High-performing contributor,0.4,buzzword
177,Worked on,Engineered,0.99,action_verb
178,Effectively communicated,Communicated [add channel/audience],0.62,redundant
179,Networking,Grew referral pipeline generating 40% of new business,0.44,specificity
180,I am,[Start with achievement verb],0.65,format
181,Detail-oriented,Quality-driven professional,0.76,buzzword
182,Responsible for,Managed,0.84,action_verb
183,Hard worker,High-performing contributor,0.86,buzzword
184,I am,[Omit pronoun],0.63,format
185,Was tasked with developing,Engineered,0.94,passive
186,Made,Constructed,0.39,action_verb
187,A lot of experience,Significant professional experience in,0.99,vague
188,Successfully managed,Oversaw [add team size],0.97,redundant
189,Basic understanding of,Practical awareness of,0.73,vague
190,Very experienced,Seasoned professional in,0.6,quantify
191,Assisted the team,Aided the operations team in deploying,0.61,action_verb
192,Tasked with,Designated to,0.62,action_verb
193,Increased sales,Grew revenue 35% year-over-year,0.89,quantify
194,Go-getter,Target-focused executor,0.64,buzzword
195,Detail-oriented,Meticulous in execution,0.61,buzzword
196,My duties were,Achieved,0.46,format
197,Results-oriented,Produced tangible impact,0.93,buzzword
198,Assisted with,Enabled,0.41,action_verb
199,Objective: To obtain a position,[Use a career highlights section],0.79,filler
200,Was in charge of,Supervised,0.59,action_verb
201,Was responsible for managing,Supervised,0.59,passive
202,Team player,Team-oriented professional,0.57,buzzword
203,Managed a team,Oversaw a team of 10 specialists,0.96,quantify
204,Helped with,Assisted in delivering,0.57,action_verb
205,Responsible for,Oversaw,0.51,action_verb
206,Objective: To obtain a position,[Craft a value proposition],0.68,filler
207,Improved efficiency,Boosted throughput by 50%,0.86,quantify
208,Basic understanding of,Introductory experience with,0.64,vague
209,Go-getter,Motivated performer,0.64,buzzword
210,Objective: To obtain a position,[Write a targeted summary statement],0.77,filler
211,Large-scale project,Platform redesign handling 1M+ transactions,0.81,quantify
212,Knowledge of programming,"Data engineering with Python, Spark, and Airflow",0.94,specificity
213,Effectively communicated,Articulated [topic] to [audience],0.32,redundant
214,Various tasks,Strategic initiatives such as,0.7,vague
215,Helped with,Contributed to,0.75,action_verb
216,Handled,Administered,0.43,action_verb
217,Self-starter,Independent problem-solver,0.53,buzzword
218,A lot of experience,Deep domain expertise spanning,0.54,vague
219,Networking,Cultivated C-level relationships across 10 accounts,0.49,specificity
220,Managed multiple projects,Oversaw portfolio of 10 initiatives spanning 4 teams,0.48,quantify
221,Assisted with,Contributed to,0.31,action_verb
222,Was responsible for managing,Managed,1.0,passive
223,Passionate about,Specialized in,0.76,buzzword
224,Managed a team,Managed a team of 12 engineers,0.83,quantify
225,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.44,quantify
226,Helped with,Assisted in delivering,0.41,action_verb
227,Handled,Administered,0.77,action_verb
228,Was asked to lead,Spearheaded,0.63,passive
229,Self-starter,Self-directed professional,0.42,buzzword
230,Successfully managed,Managed [add metrics],0.84,redundant
231,Tasked with,Commissioned to,0.38,action_verb
232,Helped with,Supported,0.7,action_verb
233,Assisted the team,Contributed to the QA team's testing of,0.58,action_verb
234,My duties were,Contributed,0.35,format
235,I am,[Rewrite in third person implied],0.37,format
236,Managed a team,Supervised 15 direct reports,0.9,quantify
237,Successfully managed,Managed [add metrics],0.86,redundant
238,Was asked to lead,Led,0.54,passive
239,Etc.,[Name actual examples],0.35,vague
240,Duties included,Led initiatives such as,0.31,format
241,Many projects,Numerous client-facing engagements,0.37,vague
242,References available upon request,[Delete this line],0.8,filler
243,Etc.,[Be explicit],0.81,vague
244,Duties included,Led initiatives such as,0.73,format
245,Assisted the team,Aided the operations team in deploying,0.84,action_verb
246,A lot of experience,Comprehensive background in,0.88,vague
247,Was given the opportunity to,Chosen to,0.53,passive
248,Detail-oriented,Precision-focused analyst,0.5,buzzword
249,Different things,Multiple workstreams such as,0.83,vague
250,Was asked to lead,Championed,0.77,passive
251,Results-oriented,Delivered measurable outcomes,0.65,buzzword
252,Leverage,Applied,0.64,buzzword
253,Passionate about,Deep experience with,0.54,buzzword
254,Networking,Grew referral pipeline generating 40% of new business,0.79,specificity
255,Go-getter,Target-focused executor,0.31,buzzword
256,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.36,quantify
257,Very experienced,Expert-level command of,0.64,quantify
258,Increased sales,Grew revenue 35% year-over-year,0.78,quantify
259,Duties included,Drove results including,0.61,format
260,Helped with,Contributed to,0.51,action_verb
261,Various tasks,Key responsibilities such as,0.51,vague
262,Was given the opportunity to,Chosen to,0.63,passive
263,Utilized,Deployed,0.6,passive
264,Improved efficiency,Boosted throughput by 50%,0.53,quantify
265,I am,[Start with achievement verb],0.49,format
266,Self-starter,Autonomous contributor,0.38,buzzword
267,Took care of,Oversaw,0.38,action_verb
268,Was responsible for managing,Directed,0.43,passive
269,Improved efficiency,Cut operational costs by 25%,0.49,quantify
270,Was given the opportunity to,Promoted to,0.72,passive
271,Did,Performed,0.51,action_verb
272,References available upon request,[Omit — implied],0.51,filler
273,My duties were,Generated,0.39,format
274,Worked on,Developed,0.69,action_verb
275,I am,[Rewrite in third person implied],0.75,format
276,Increased sales,Boosted conversion rate by 18%,0.37,quantify
277,Responsible for,Led,0.5,action_verb
278,Good at,Demonstrated competency in,0.54,vague
279,Participated in,Championed,0.96,action_verb
280,Good at,Proficient in,0.88,vague
281,Various tasks,Core functions including,0.35,vague
282,Actively participated,Contributed [specific deliverable],0.41,redundant
283,Large-scale project,Multi-year program with 50+ stakeholders,0.96,quantify
284,Assisted with,Enabled,0.38,action_verb
285,Increased sales,Boosted conversion rate by 18%,0.72,quantify
286,Saved money,Negotiated $500K in vendor savings,0.46,quantify
287,Utilized,Implemented,0.62,passive
288,Different things,Various technical domains including,0.9,vague
289,Etc.,[Name actual examples],0.7,vague
290,Participated in,Coordinated,0.97,action_verb
291,Did,Performed,0.74,action_verb
292,Self-starter,Proactive initiator,0.41,buzzword
293,Dealt with,Mitigated,0.35,action_verb
294,Responsible for,Spearheaded,0.62,action_verb
295,Successfully managed,Supervised [add budget],0.5,redundant
296,Hard worker,Dedicated achiever,0.79,buzzword
297,I am,[Start with achievement verb],0.35,format
298,Hard worker,Dedicated achiever,0.85,buzzword
299,Actively participated,Executed [specific task],0.76,redundant
300,Communicated with stakeholders,Presented roadmap updates to 15+ stakeholders,0.6,specificity
301,Was responsible for managing,Directed,0.75,passive
302,Assisted the team,Facilitated the design team's workflow for,0.88,action_verb
303,Was in charge of,Managed,0.42,action_verb
304,Synergy,Coordinated effort,0.82,buzzword
305,Was asked to lead,Headed,0.61,passive
306,A lot of experience,Deep domain expertise spanning,0.79,vague
307,Managed multiple projects,Coordinated 12 projects with 95% on-time delivery,0.65,quantify
308,Familiar with,Applied understanding of,0.36,vague
309,Worked on,Designed,0.81,action_verb
310,Successfully managed,Oversaw [add team size],0.32,redundant
311,Hard worker,Diligent executor,0.71,buzzword
312,Helped with,Supported,0.7,action_verb
313,Increased sales,Grew revenue 35% year-over-year,0.63,quantify
314,Duties included,Drove results including,0.94,format
315,Dealt with,Mitigated,0.61,action_verb
316,Proficient in Microsoft Office,Document automation with Word templates,0.98,specificity
317,Good at,Skilled at,0.59,vague
318,Leverage,Utilized,0.9,buzzword
319,Results-oriented,Drove outcome-focused initiatives,0.79,buzzword
320,Think outside the box,Solution architect,0.87,buzzword
321,Was tasked with developing,Developed,0.62,passive
322,Leverage,Capitalized on,0.53,buzzword
323,Managed a team,Directed a 20-person department,0.91,quantify
324,Proficient in Microsoft Office,"Advanced Excel modeling (VLOOKUP, pivot tables, macros)",0.76,specificity
325,Was responsible for managing,Supervised,0.59,passive
326,Took care of,Ensured,0.55,action_verb
327,Increased sales,Boosted conversion rate by 18%,0.74,quantify
328,Increased sales,Increased sales by $500K annually,0.44,quantify
329,Was tasked with developing,Engineered,0.95,passive
330,Different things,Cross-disciplinary tasks including,0.38,vague
331,Actively participated,Executed [specific task],0.86,redundant
332,My duties were,Contributed,0.52,format
333,Responsible for,Led,0.59,action_verb
334,Hard worker,Results-driven professional,0.62,buzzword
335,Made,Produced,0.65,action_verb
336,My duties were,Achieved,0.66,format
337,Go-getter,Motivated performer,0.88,buzzword
338,Good at,Expert in,0.62,vague
339,Involved in,Engaged in,0.43,action_verb
340,Successfully managed,Coordinated [add outcomes],0.82,redundant
341,Handled,Managed,0.49,action_verb
342,Saved money,Delivered $1M in cost savings,0.54,quantify
343,Saved money,Negotiated $500K in vendor savings,0.49,quantify
344,Responsible for,Oversaw,0.81,action_verb
345,Knowledge of programming,Mobile development with Swift and Kotlin,0.71,specificity
346,Responsibilities included,Key contributions included,0.91,format
347,Different things,A range of initiatives including,0.64,vague
348,Results-oriented,Generated concrete deliverables,0.83,buzzword
349,Objective: To obtain a position,[Craft a value proposition],0.95,filler
350,Problem-solving skills,Resolved critical data pipeline failure within 2 hours,0.99,specificity
351,Detail-oriented,Thorough and methodical,0.57,buzzword
352,Good communication skills,Facilitated cross-team standups across 4 time zones,0.33,specificity
353,Improved efficiency,Cut operational costs by 25%,0.79,quantify
354,Large-scale project,Platform redesign handling 1M+ transactions,0.57,quantify
355,Responsibilities included,Impact areas included,0.65,format
356,Worked on,Engineered,0.65,action_verb
357,Was given the opportunity to,Chosen to,0.91,passive
358,Problem-solving skills,Designed failover system eliminating 99% of downtime,0.37,specificity
359,Assisted the team,Contributed to the QA team's testing of,0.31,action_verb
360,Involved in,Engaged in,0.91,action_verb
361,Involved in,Contributed to,0.63,action_verb
362,Self-starter,Self-directed professional,0.74,buzzword
363,Various tasks,Specific deliverables including,0.9,vague
364,Good communication skills,Delivered training sessions to 100+ new hires,0.57,specificity
365,Leverage,Harnessed,0.91,buzzword
366,Worked on,Implemented,0.35,action_verb
367,Actively participated,Led [specific component],1.0,redundant
368,Improved efficiency,Improved efficiency by 30%,0.6,quantify
369,Did,Executed,0.61,action_verb
370,I am,[Use action verb instead],0.93,format
371,Worked on,Built,0.86,action_verb
372,Think outside the box,Unconventional thinker,0.56,buzzword
373,Involved in,Played a key role in,0.67,action_verb
374,Was asked to lead,Spearheaded,0.42,passive
375,Assisted with,Bolstered,0.91,action_verb
376,Effectively communicated,Presented to [audience],0.65,redundant
377,Was given the opportunity to,Selected to,0.46,passive
378,Actively participated,Led [specific component],0.62,redundant
379,Responsibilities included,Achievements included,0.93,format
380,A lot of experience,Deep domain expertise spanning,0.77,vague
381,Tasked with,Entrusted with,0.61,action_verb
382,Passionate about,Committed to excellence in,0.51,buzzword
383,Etc.,[Name actual examples],0.62,vague
384,Synergy,Cross-functional alignment,1.0,buzzword
385,Good communication skills,Facilitated cross-team standups across 4 time zones,0.37,specificity
386,Objective: To obtain a position,[Summarize top achievements],0.55,filler
387,Think outside the box,Unconventional thinker,0.32,buzzword
388,Knowledge of programming,"Data engineering with Python, Spark, and Airflow",0.49,specificity
389,Was asked to lead,Led,0.94,passive
390,Improved efficiency,Cut operational costs by 25%,0.88,quantify
391,Basic understanding of,Entry-level proficiency in,0.84,vague
392,Hard worker,Diligent executor,0.86,buzzword
393,Hard worker,High-performing contributor,0.73,buzzword
394,Job description,Impact statement,0.74,format
395,Basic understanding of,Foundational knowledge in,0.52,vague
396,Different things,Diverse deliverables including,0.71,vague
397,Very experienced,Advanced proficiency in,0.36,quantify
398,Think outside the box,Unconventional thinker,0.82,buzzword
399,Dealt with,Addressed,0.39,action_verb
400,Was responsible for managing,Oversaw,0.67,passive
401,Assisted the team,Facilitated the design team's workflow for,0.88,action_verb
402,Self-starter,Independent problem-solver,0.98,buzzword
403,Think outside the box,Unconventional thinker,0.86,buzzword
404,A lot of experience,8+ years of proven experience,0.4,vague
405,Hard worker,Committed performer,0.98,buzzword
406,Large-scale project,Multi-year program with 50+ stakeholders,0.56,quantify
407,Saved money,Delivered $1M in cost savings,0.31,quantify
408,Was responsible for managing,Managed,0.62,passive
409,Job description,Value delivered,0.71,format
410,Proficient in Microsoft Office,Data analysis using Excel and Power BI,0.38,specificity
411,Hard worker,Committed performer,0.32,buzzword
412,Networking,Grew referral pipeline generating 40% of new business,0.53,specificity
413,Effectively communicated,Presented to [audience],0.75,redundant
414,Actively participated,Delivered [specific output],0.94,redundant
415,Synergy,Integrated teamwork,0.38,buzzword
416,Worked on,Developed,0.51,action_verb
417,Familiar with,Working knowledge of,0.37,vague
418,Networking,Grew referral pipeline generating 40% of new business,0.39,specificity
419,A lot of experience,Deep domain expertise spanning,0.77,vague
420,Improved efficiency,Boosted throughput by 50%,0.59,quantify
421,Improved efficiency,Reduced processing time by 40%,0.92,quantify
422,Duties included,Key achievements included,0.88,format
423,Effectively communicated,Reported to [leadership],0.96,redundant
424,Go-getter,Ambitious achiever,0.78,buzzword
425,Team player,Team-oriented professional,0.61,buzzword
426,Detail-oriented,Meticulous in execution,0.37,buzzword
427,Job description,Value delivered,0.68,format
428,Duties included,Led initiatives such as,0.34,format
429,Go-getter,Goal-oriented professional,0.98,buzzword
430,Managed multiple projects,Oversaw portfolio of 10 initiatives spanning 4 teams,0.36,quantify
431,Team player,Cooperative strategist,0.98,buzzword
432,Participated in,Championed,0.47,action_verb
433,Handled,Orchestrated,0.44,action_verb
434,Knowledge of programming,Mobile development with Swift and Kotlin,0.45,specificity
435,Team player,Cross-functional contributor,0.53,buzzword
436,Involved in,Instrumental in,0.3,action_verb
437,Good communication skills,Led client workshops with 50+ attendees,0.99,specificity
438,Was responsible for managing,Oversaw,0.86,passive
439,Made,Created,0.39,action_verb
440,Passionate about,Specialized in,0.71,buzzword
441,Helped with,Collaborated on,0.49,action_verb
442,Handled,Administered,0.67,action_verb
443,Improved efficiency,Improved efficiency by 30%,0.63,quantify
444,Managed a team,Supervised 15 direct reports,0.66,quantify
445,Did,Delivered,0.65,action_verb
446,Managed multiple projects,Directed 6 simultaneous launches across 2 markets,0.33,quantify
447,Saved money,Negotiated $500K in vendor savings,0.51,quantify
448,Duties included,Key achievements included,0.34,format
449,Good at,Demonstrated competency in,0.6,vague
450,Did,Delivered,0.8,action_verb
451,Different things,Diverse deliverables including,0.93,vague
452,Leverage,Employed strategically,0.4,buzzword
453,Handled,Oversaw,0.74,action_verb
454,Was given the opportunity to,Promoted to,0.8,passive
455,Objective: To obtain a position,[Summarize top achievements],0.67,filler
456,A lot of experience,Significant professional experience in,0.72,vague
457,Did,Executed,0.9,action_verb
458,Duties included,Delivered outcomes including,0.8,format
459,Team player,Team-oriented professional,0.62,buzzword
460,Hard worker,Committed performer,0.54,buzzword
461,A lot of experience,Comprehensive background in,0.59,vague
462,Did,Accomplished,0.6,action_verb
463,Responsibilities included,Delivered value through,0.56,format
464,Involved in,Engaged in,0.35,action_verb
465,Knowledge of programming,"Proficient in Python, JavaScript, and SQL",0.37,specificity
466,Did,Accomplished,0.87,action_verb
467,Was tasked with developing,Developed,0.71,passive
468,Was tasked with developing,Designed,0.53,passive
469,Made,Constructed,0.55,action_verb
470,Responsibilities included,Key contributions included,0.91,format
471,Very experienced,Senior-level expertise in,0.98,quantify
472,Successfully managed,Oversaw [add team size],0.55,redundant
473,Was asked to lead,Championed,0.45,passive
474,Responsibilities included,Key contributions included,0.46,format
475,Did,Accomplished,0.89,action_verb
476,References available upon request,[Remove entirely],0.83,filler
477,Was asked to lead,Spearheaded,0.87,passive
478,Good communication skills,Delivered training sessions to 100+ new hires,0.98,specificity
479,Proficient in Microsoft Office,SharePoint administration and workflow design,0.73,specificity
480,Duties included,Delivered outcomes including,0.32,format
481,Communicated with stakeholders,Facilitated weekly syncs with cross-functional leads,0.32,specificity
482,Go-getter,Driven contributor,0.95,buzzword
483,Passionate about,Demonstrated expertise in,0.43,buzzword
484,Involved in,Instrumental in,0.76,action_verb
485,Was in charge of,Directed,0.82,action_verb
486,Helped with,Contributed to,0.82,action_verb
487,Team player,Team-oriented professional,0.59,buzzword
488,Results-oriented,Achieved quantifiable results,0.56,buzzword
489,Very experienced,10+ years of deep experience in,0.84,quantify
490,Was asked to lead,Championed,0.36,passive
491,Participated in,Drove,0.41,action_verb
492,Effectively communicated,Communicated [add channel/audience],0.77,redundant
493,Go-getter,Motivated performer,0.76,buzzword
494,Familiar with,Competent in,0.61,vague
495,Go-getter,Goal-oriented professional,0.83,buzzword
496,Made,Developed,0.6,action_verb
497,Think outside the box,Inventive analyst,0.64,buzzword
498,Responsibilities included,Delivered value through,0.33,format
499,Various tasks,Strategic initiatives such as,0.34,vague
500,Team player,Effective collaborator,0.96,buzzword
501,Managed a team,Led a cross-functional team of 8,0.83,quantify
502,Think outside the box,Unconventional thinker,0.38,buzzword
503,Familiar with,Applied understanding of,0.42,vague
504,Objective: To obtain a position,[Summarize top achievements],0.79,filler
505,Some experience with,Practical exposure to,0.88,vague
506,Large-scale project,Organization-wide migration serving 500+ employees,0.35,quantify
507,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.61,specificity
508,A lot of experience,8+ years of proven experience,0.9,vague
509,Was asked to lead,Directed,0.7,passive
510,My duties were,Produced,0.5,format
511,Various tasks,Specific deliverables including,0.98,vague
512,Tasked with,Appointed to,0.62,action_verb
513,I am,[Use action verb instead],0.36,format
514,Good communication skills,Presented quarterly results to board of directors,0.47,specificity
515,Was given the opportunity to,Trusted to,0.67,passive
516,Various tasks,Targeted projects including,0.82,vague
517,Hard worker,Dedicated achiever,0.85,buzzword
518,Was in charge of,Administered,0.74,action_verb
519,Utilized,Employed,0.44,passive
520,Managed a team,Supervised 15 direct reports,0.55,quantify
521,Proficient in Microsoft Office,PowerPoint deck design for C-suite presentations,0.47,specificity
522,Involved in,Actively participated in,0.44,action_verb
523,Successfully managed,Directed [add scope],0.83,redundant
524,Duties included,Key achievements included,0.42,format
525,Managed a team,Directed a 20-person department,0.62,quantify
526,Was asked to lead,Championed,0.61,passive
527,Communicated with stakeholders,Aligned 6 department heads on strategic priorities,0.75,specificity
528,Effectively communicated,Briefed [stakeholders],0.9,redundant
529,Actively participated,Led [specific component],0.41,redundant
530,Was in charge of,Supervised,0.61,action_verb
531,Synergy,Strategic partnership,0.71,buzzword
532,Passionate about,Committed to excellence in,0.35,buzzword
533,A lot of experience,Comprehensive background in,0.33,vague
534,References available upon request,[Not needed on resume],0.35,filler
535,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.73,specificity
536,Some experience with,Developing expertise in,0.62,vague
537,Was tasked with developing,Developed,0.61,passive
538,Large-scale project,Multi-year program with 50+ stakeholders,0.76,quantify
539,Leverage,Employed strategically,0.63,buzzword
540,Involved in,Contributed to,0.62,action_verb
541,Large-scale project,Organization-wide migration serving 500+ employees,0.99,quantify
542,Assisted with,Bolstered,0.75,action_verb
543,Worked on,Engineered,0.8,action_verb
544,Different things,A range of initiatives including,0.67,vague
